name,acronym,depth,left_count,volume (mm^3),density (cells/mm^3),right_count
"Accessory olfactory bulb, granular layer",AOBgr,7.0,4730.0,0.110171875,42932.91731669267,
"Accessory olfactory bulb, mitral layer",AOBmi,7.0,2683.0,0.138140625,19422.23730347246,
Anterior olfactory nucleus,AON,6.0,53062.0,2.434671875,21794.31263196401,
Taenia tecta,TT,6.0,12570.0,0.71946875,17471.22442774617,
"Taenia tecta, dorsal part",TTd,7.0,7167.0,0.36028125,19892.7920895134,
"Taenia tecta, ventral part",TTv,7.0,5403.0,0.3591875,15042.282930224465,
Dorsal peduncular area,DP,6.0,5452.0,0.250140625,21795.739896308325,
Piriform area,PIR,6.0,111957.0,5.782515625,19361.29658101875,
Nucleus of the lateral olfactory tract,NLOT,6.0,3034.0,0.15934375,19040.59619533242,
"Nucleus of the lateral olfactory tract, molecular layer",NLOT1,7.0,1095.0,0.05571875,19652.271452607965,
"Nucleus of the lateral olfactory tract, pyramidal layer",NLOT2,7.0,1487.0,0.07475,19892.976588628764,
"Nucleus of the lateral olfactory tract, layer 3",NLOT3,7.0,452.0,0.028875,15653.679653679654,
Cortical amygdalar area,COA,6.0,28211.0,1.6323125,17282.842592947123,
"Cortical amygdalar area, anterior part",COAa,7.0,8203.0,0.383734375,21376.76615497373,
"Cortical amygdalar area, posterior part",COAp,7.0,20008.0,1.248578125,16024.62801436634,
"Cortical amygdalar area, posterior part, lateral zone",COApl,8.0,6583.0,0.601015625,10953.126218640322,
"Cortical amygdalar area, posterior part, medial zone",COApm,8.0,13425.0,0.6475625,20731.589614902037,
Piriform-amygdalar area,PAA,6.0,6845.0,0.595578125,11493.034603982476,
Postpiriform transition area,TR,6.0,6232.0,0.699453125,8909.8179381213,
Hippocampal formation,HPF,5.0,187235.0,21.319921875,8782.161637259753,
Hippocampal region,HIP,6.0,55529.0,11.863359375,4680.71464791144,
Ammon's horn,CA,7.0,40660.0,8.473609375,4798.427470584222,
Field CA1,CA1,8.0,27348.0,5.10415625,5357.986444870296,
Field CA2,CA2,8.0,704.0,0.237890625,2959.343185550082,
Field CA3,CA3,8.0,12608.0,3.1315625,4026.10517912384,
Dentate gyrus,DG,7.0,13022.0,3.2985,3947.8550856449897,
"Dentate gyrus, molecular layer",DG-mo,8.0,7140.0,2.154328125,3314.258360712809,
"Dentate gyrus, polymorph layer",DG-po,8.0,2426.0,0.342515625,7082.888554354272,
"Dentate gyrus, granule cell layer",DG-sg,8.0,3456.0,0.80165625,4311.074728101977,
Fasciola cinerea,FC,7.0,487.0,0.030546875,15942.710997442457,
Induseum griseum,IG,7.0,1360.0,0.060703125,22404.11840411841,
Retrohippocampal region,RHP,6.0,129699.0,9.24640625,14026.963178261823,
Entorhinal area,ENT,7.0,92235.0,5.704109375,16169.921356039917,
"Entorhinal area, lateral part",ENTl,8.0,63115.0,3.1885625,19794.186251641608,
"Entorhinal area, lateral part, layer 1",ENTl1,9.0,15159.0,0.4903125,30917.017208413003,
"Entorhinal area, lateral part, layer 2",ENTl2,9.0,20036.0,0.801859375,24986.92492059471,
"Entorhinal area, lateral part, layer 3",ENTl3,9.0,10838.0,0.6590625,16444.57088667615,
"Entorhinal area, lateral part, layer 5",ENTl5,9.0,9484.0,0.7134375,13293.385895751206,
"Entorhinal area, lateral part, layer 6a",ENTl6a,9.0,7598.0,0.523890625,14503.027230158965,
"Entorhinal area, medial part, dorsal zone",ENTm,8.0,29120.0,2.515546875,11576.011677381284,
"Entorhinal area, medial part, dorsal zone, layer 1",ENTm1,9.0,5623.0,0.62259375,9031.571550469307,
"Entorhinal area, medial part, dorsal zone, layer 2",ENTm2,9.0,6594.0,0.630703125,10454.998141954664,
"Entorhinal area, medial part, dorsal zone, layer 3",ENTm3,9.0,6470.0,0.491546875,13162.52900600782,
"Entorhinal area, medial part, dorsal zone, layer 5",ENTm5,9.0,5991.0,0.456796875,13115.238583889177,
"Entorhinal area, medial part, dorsal zone, layer 6",ENTm6,9.0,4442.0,0.31390625,14150.72175211548,
Parasubiculum,PAR,7.0,6255.0,0.466609375,13405.217158356494,
Postsubiculum,POST,7.0,4322.0,0.54015625,8001.388487127567,
Presubiculum,PRE,7.0,4922.0,0.46190625,10655.841959272038,
Subiculum,SUB,7.0,10119.0,1.0515625,9622.823179791976,
Prosubiculum,ProS,7.0,6378.0,0.64990625,9813.723133144204,
Hippocampo-amygdalar transition area,HATA,7.0,4214.0,0.2110625,19965.64998519396,
Area prostriata,APr,7.0,1254.0,0.16109375,7784.2870999030065,
Cortical subplate,CTXsp,4.0,50573.0,4.45309375,11356.823556656538,
Claustrum,CLA,5.0,4523.0,0.276015625,16386.753467308237,
Endopiriform nucleus,EP,5.0,15457.0,1.395171875,11078.921727833713,
"Endopiriform nucleus, dorsal part",EPd,6.0,10893.0,0.908828125,11985.76463508983,
"Endopiriform nucleus, ventral part",EPv,6.0,4564.0,0.48634375,9384.30893786545,
Lateral amygdalar nucleus,LA,5.0,4840.0,0.418609375,11562.091747228547,
Basolateral amygdalar nucleus,BLA,5.0,8685.0,0.950453125,9137.74679840208,
"Basolateral amygdalar nucleus, anterior part",BLAa,6.0,3857.0,0.385328125,10009.650865739426,
"Basolateral amygdalar nucleus, posterior part",BLAp,6.0,2742.0,0.355703125,7708.675598506479,
"Basolateral amygdalar nucleus, ventral part",BLAv,6.0,2086.0,0.209421875,9960.755054838468,
Basomedial amygdalar nucleus,BMA,5.0,7689.0,0.7424375,10356.427308696018,
"Basomedial amygdalar nucleus, anterior part",BMAa,6.0,4390.0,0.383953125,11433.687380458226,
"Basomedial amygdalar nucleus, posterior part",BMAp,6.0,3299.0,0.358484375,9202.632611253975,
Posterior amygdalar nucleus,PA,5.0,7303.0,0.483109375,15116.659659109286,
Cerebral nuclei,CNU,3.0,188295.0,27.140265625,6937.846615125013,
Striatum,STR,4.0,160695.0,22.469265625,7151.769117954874,
Striatum dorsal region,STRd,5.0,39957.0,13.00915625,3071.452078223751,
Caudoputamen,CP,6.0,39957.0,13.00915625,3071.452078223751,
Striatum ventral region,STRv,5.0,42838.0,4.32478125,9905.240872009424,
Nucleus accumbens,ACB,6.0,21064.0,2.19953125,9576.585920295516,
Fundus of striatum,FS,6.0,1576.0,0.2160625,7294.185710153312,
Olfactory tubercle,OT,6.0,20198.0,1.9091875,10579.369496186204,
Lateral septal complex,LSX,5.0,37365.0,1.776625,21031.450080911844,
Lateral septal nucleus,LS,6.0,34294.0,1.524359375,22497.31957072131,
"Lateral septal nucleus, caudal (caudodorsal) part",LSc,7.0,4553.0,0.281609375,16167.785607279588,
"Lateral septal nucleus, rostral (rostroventral) part",LSr,7.0,21038.0,0.939234375,22399.095007569333,
"Lateral septal nucleus, ventral part",LSv,7.0,8703.0,0.303515625,28673.976833976834,
Septofimbrial nucleus,SF,6.0,2708.0,0.2335625,11594.327000267594,
Septohippocampal nucleus,SH,6.0,363.0,0.018703125,19408.521303258145,
Striatum-like amygdalar nuclei,sAMY,5.0,23608.0,2.023546875,11666.64350189565,
Anterior amygdalar area,AAA,6.0,3365.0,0.247109375,13617.451786278849,
Bed nucleus of the accessory olfactory tract,BA,6.0,424.0,0.012578125,33709.316770186335,
Central amygdalar nucleus,CEA,6.0,7325.0,0.659015625,11115.062711904591,
"Central amygdalar nucleus, capsular part",CEAc,7.0,1793.0,0.154609375,11596.968165740273,
"Central amygdalar nucleus, lateral part",CEAl,7.0,1706.0,0.130015625,13121.499819733206,
"Central amygdalar nucleus, medial part",CEAm,7.0,3826.0,0.374390625,10219.272985267728,
Intercalated amygdalar nucleus,IA,6.0,784.0,0.091609375,8558.076070271192,
Medial amygdalar nucleus,MEA,6.0,11710.0,1.013234375,11557.04967076349,
Pallidum,PAL,4.0,27600.0,4.671,5908.798972382787,
"Pallidum, dorsal region",PALd,5.0,1378.0,0.993390625,1387.1683155858252,
"Globus pallidus, external segment",GPe,6.0,1175.0,0.78159375,1503.3385310463398,
"Globus pallidus, internal segment",GPi,6.0,203.0,0.211796875,958.4655108815936,
"Pallidum, ventral region",PALv,5.0,8370.0,1.696140625,4934.732342726595,
Substantia innominata,SI,6.0,7001.0,1.513796875,4624.794855650631,
Magnocellular nucleus,MA,6.0,1369.0,0.18234375,7507.797772065124,
"Pallidum, medial region",PALm,5.0,7513.0,0.7436875,10102.361542986806,
Medial septal complex,MSC,6.0,6094.0,0.56753125,10737.734706238642,
Medial septal nucleus,MS,7.0,3301.0,0.200890625,16431.827020300225,
Diagonal band nucleus,NDB,7.0,2793.0,0.366640625,7617.813765182186,
Triangular nucleus of septum,TRS,6.0,1419.0,0.17615625,8055.34858967536,
"Pallidum, caudal region",PALc,5.0,6116.0,0.673984375,9074.394343340677,
Bed nuclei of the stria terminalis,BST,6.0,6024.0,0.670234375,8987.900687725842,
Bed nucleus of the anterior commissure,BAC,6.0,92.0,0.00375,24533.333333333336,
Brain stem,BS,2.0,487321.0,59.824375,8145.860278523594,
Interbrain,IB,3.0,175132.0,17.695015625,9897.250373295446,
Thalamus,TH,4.0,67161.0,10.120140625,6636.370233244659,
"Thalamus, sensory-motor cortex related",DORsm,5.0,13789.0,3.337578125,4131.438870812949,
Ventral group of the dorsal thalamus,VENT,6.0,8037.0,2.42896875,3308.8116098652977,
Ventral anterior-lateral complex of the thalamus,VAL,7.0,514.0,0.40915625,1256.243794393951,
Ventral medial nucleus of the thalamus,VM,7.0,3648.0,0.46290625,7880.645379058934,
Ventral posterior complex of the thalamus,VP,7.0,2907.0,1.417203125,2051.2232500192945,
Ventral posterolateral nucleus of the thalamus,VPL,8.0,1106.0,0.438765625,2520.707951996012,
"Ventral posterolateral nucleus of the thalamus, parvicellular part",VPLpc,8.0,245.0,0.04940625,4958.886780518659,
Ventral posteromedial nucleus of the thalamus,VPM,8.0,435.0,0.8220625,529.156846346841,
"Ventral posteromedial nucleus of the thalamus, parvicellular part",VPMpc,8.0,1121.0,0.10696875,10479.696172947706,
Posterior triangular thalamic nucleus,PoT,7.0,968.0,0.139703125,6928.978861424896,
Subparafascicular nucleus,SPF,6.0,1058.0,0.10190625,10382.091383011346,
"Subparafascicular nucleus, magnocellular part",SPFm,7.0,729.0,0.03465625,21035.16681695221,
"Subparafascicular nucleus, parvicellular part",SPFp,7.0,329.0,0.06725,4892.193308550186,
Subparafascicular area,SPA,6.0,733.0,0.064859375,11301.37316309323,
Peripeduncular nucleus,PP,6.0,25.0,0.0305625,817.99591002045,
"Geniculate group, dorsal thalamus",GENd,6.0,3936.0,0.71128125,5533.676024779228,
Medial geniculate complex,MG,7.0,2305.0,0.34965625,6592.188756814729,
"Medial geniculate complex, dorsal part",MGd,8.0,319.0,0.086046875,3707.281641547122,
"Medial geniculate complex, ventral part",MGv,8.0,1005.0,0.138546875,7253.862636742979,
"Medial geniculate complex, medial part",MGm,8.0,981.0,0.1250625,7844.07796101949,
Dorsal part of the lateral geniculate complex,LGd,7.0,1631.0,0.361625,4510.197027307294,
"Dorsal part of the lateral geniculate complex, shell",LGd-sh,8.0,285.0,0.103984375,2740.7963936889555,
"Dorsal part of the lateral geniculate complex, core",LGd-co,8.0,1318.0,0.209796875,6282.26707380651,
"Dorsal part of the lateral geniculate complex, ipsilateral zone",LGd-ip,8.0,28.0,0.04784375,585.2384062704115,
"Thalamus, polymodal association cortex related",DORpm,5.0,49230.0,6.323328125,7785.457124289276,
Lateral group of the dorsal thalamus,LAT,6.0,3261.0,1.53896875,2118.9514082076066,
Lateral posterior nucleus of the thalamus,LP,7.0,1136.0,0.6015625,1888.4155844155844,
Posterior complex of the thalamus,PO,7.0,738.0,0.626140625,1178.6489656377112,
Posterior limiting nucleus of the thalamus,POL,7.0,508.0,0.102546875,4953.832088983697,
Suprageniculate nucleus,SGN,7.0,536.0,0.090890625,5897.197868317002,
Ethmoid nucleus of the thalamus,Eth,7.0,343.0,0.117828125,2911.0197586526983,
Anterior group of the dorsal thalamus,ATN,6.0,5703.0,1.07915625,5284.684215098601,
Anteroventral nucleus of thalamus,AV,7.0,1721.0,0.2078125,8281.503759398496,
Anteromedial nucleus,AM,7.0,1845.0,0.205328125,8985.61753291226,
"Anteromedial nucleus, dorsal part",AMd,8.0,1374.0,0.122265625,11237.82747603834,
"Anteromedial nucleus, ventral part",AMv,8.0,471.0,0.0830625,5670.428893905192,
Anterodorsal nucleus,AD,7.0,246.0,0.08021875,3066.6147253603426,
Interanteromedial nucleus of the thalamus,IAM,7.0,667.0,0.02125,31388.235294117643,
Interanterodorsal nucleus of the thalamus,IAD,7.0,858.0,0.056375,15219.512195121952,
Lateral dorsal nucleus of thalamus,LD,7.0,366.0,0.508171875,720.2287611843925,
Medial group of the dorsal thalamus,MED,6.0,10071.0,1.003234375,10038.531624277728,
Intermediodorsal nucleus of the thalamus,IMD,7.0,1491.0,0.08503125,17534.729878721057,
Mediodorsal nucleus of thalamus,MD,7.0,6180.0,0.6888125,8971.96261682243,
Submedial nucleus of the thalamus,SMT,7.0,990.0,0.153609375,6444.919133353677,
Perireunensis nucleus,PR,7.0,1410.0,0.07578125,18606.18556701031,
Midline group of the dorsal thalamus,MTN,6.0,16252.0,0.584015625,27828.022580731464,
Paraventricular nucleus of the thalamus,PVT,7.0,8313.0,0.217140625,38283.94617543354,
Parataenial nucleus,PT,7.0,2559.0,0.115015625,22249.150930580086,
Nucleus of reuniens,RE,7.0,4735.0,0.210328125,22512.44335487705,
Xiphoid thalamic nucleus,Xi,7.0,645.0,0.04153125,15530.474040632054,
Intralaminar nuclei of the dorsal thalamus,ILM,6.0,5473.0,0.800203125,6839.5134047995625,
Rhomboid nucleus,RH,7.0,782.0,0.04453125,17560.701754385966,
Central medial nucleus of the thalamus,CM,7.0,2563.0,0.12253125,20917.112981382303,
Paracentral nucleus,PCN,7.0,333.0,0.11903125,2797.584667891835,
Central lateral nucleus of the thalamus,CL,7.0,559.0,0.181703125,3076.446813999484,
Parafascicular nucleus,PF,7.0,958.0,0.2445,3918.200408997955,
Posterior intralaminar thalamic nucleus,PIL,7.0,278.0,0.08790625,3162.460007109847,
Reticular nucleus of the thalamus,RT,6.0,2677.0,0.7235,3700.0691085003455,
"Geniculate group, ventral thalamus",GENv,6.0,3566.0,0.26103125,13661.19956901712,
Intergeniculate leaflet of the lateral geniculate complex,IGL,7.0,573.0,0.0344375,16638.83847549909,
Intermediate geniculate nucleus,IntG,7.0,47.0,0.011171875,4206.993006993007,
Ventral part of the lateral geniculate complex,LGv,7.0,2905.0,0.202109375,14373.40548898338,
Subgeniculate nucleus,SubG,7.0,41.0,0.0133125,3079.81220657277,
Epithalamus,EPI,6.0,2227.0,0.33321875,6683.297383475569,
Medial habenula,MH,7.0,937.0,0.160234375,5847.684056557776,
Lateral habenula,LH,7.0,1290.0,0.172984375,7457.320928552073,
Hypothalamus,HY,4.0,107971.0,7.574875,14253.83257149458,
Periventricular zone,PVZ,5.0,11667.0,0.38225,30521.90974493133,
Supraoptic nucleus,SO,6.0,737.0,0.02325,31698.9247311828,
Accessory supraoptic group,ASO,6.0,36.0,0.003046875,11815.384615384615,
Paraventricular hypothalamic nucleus,PVH,6.0,4077.0,0.092796875,43934.66913621822,
"Periventricular hypothalamic nucleus, anterior part",PVa,6.0,1171.0,0.024609375,47583.49206349206,
"Periventricular hypothalamic nucleus, intermediate part",PVi,6.0,2187.0,0.096640625,22630.234438156836,
Arcuate hypothalamic nucleus,ARH,6.0,3459.0,0.14190625,24375.24774278793,
Periventricular region,PVR,5.0,25167.0,1.01753125,24733.39270906913,
Anterodorsal preoptic nucleus,ADP,6.0,1280.0,0.050390625,25401.550387596897,
Anteroventral preoptic nucleus,AVP,6.0,493.0,0.045921875,10735.6243620279,
Anteroventral periventricular nucleus,AVPV,6.0,3138.0,0.090265625,34764.06439328371,
Dorsomedial nucleus of the hypothalamus,DMH,6.0,4752.0,0.186125,25531.22901276024,
Median preoptic nucleus,MEPO,6.0,539.0,0.01821875,29584.90566037736,
Medial preoptic area,MPO,6.0,3620.0,0.27884375,12982.180880869662,
Vascular organ of the lamina terminalis,OV,6.0,139.0,0.004171875,33318.35205992509,
Posterodorsal preoptic nucleus,PD,6.0,86.0,0.005765625,14915.989159891598,
Parastrial nucleus,PS,6.0,905.0,0.048296875,18738.27240375283,
"Periventricular hypothalamic nucleus, posterior part",PVp,6.0,2182.0,0.062953125,34660.709853561675,
"Periventricular hypothalamic nucleus, preoptic part",PVpo,6.0,3026.0,0.070546875,42893.46622369879,
Subparaventricular zone,SBPV,6.0,1554.0,0.0540625,28744.50867052023,
Suprachiasmatic nucleus,SCH,6.0,2026.0,0.033,61393.93939393939,
Subfornical organ,SFO,6.0,14.0,0.010421875,1343.328335832084,
Ventromedial preoptic nucleus,VMPO,6.0,1071.0,0.025109375,42653.39141257,
Ventrolateral preoptic nucleus,VLPO,6.0,342.0,0.0334375,10228.037383177569,
Hypothalamic medial zone,MEZ,5.0,27095.0,1.916609375,14136.94431083538,
Anterior hypothalamic nucleus,AHN,6.0,4294.0,0.3546875,12106.431718061674,
Mammillary body,MBO,6.0,7826.0,0.50525,15489.36170212766,
Lateral mammillary nucleus,LM,7.0,782.0,0.03884375,20131.93885760257,
Medial mammillary nucleus,MM,7.0,3745.0,0.268203125,13963.297407515294,
"Medial mammillary nucleus, median part",MMme,8.0,343.0,0.0375,9146.666666666668,
"Medial mammillary nucleus, lateral part",MMl,8.0,1729.0,0.106578125,16222.841225626742,
"Medial mammillary nucleus, medial part",MMm,8.0,852.0,0.0681875,12494.958753437211,
"Medial mammillary nucleus, posterior part",MMp,8.0,708.0,0.01821875,38861.063464837054,
"Medial mammillary nucleus, dorsal part",MMd,8.0,113.0,0.03771875,2995.8574979287487,
Supramammillary nucleus,SUM,7.0,1440.0,0.1266875,11366.55155402072,
Tuberomammillary nucleus,TM,7.0,1859.0,0.071515625,25994.31942320297,
"Tuberomammillary nucleus, dorsal part",TMd,8.0,655.0,0.017328125,37799.81965734896,
"Tuberomammillary nucleus, ventral part",TMv,8.0,1204.0,0.0541875,22219.14648212226,
Medial preoptic nucleus,MPN,6.0,3228.0,0.201140625,16048.47354928921,
Dorsal premammillary nucleus,PMd,6.0,617.0,0.065859375,9368.446026097272,
Ventral premammillary nucleus,PMv,6.0,1432.0,0.09790625,14626.236833705714,
"Paraventricular hypothalamic nucleus, descending division",PVHd,6.0,1095.0,0.06534375,16757.532281205164,
Ventromedial hypothalamic nucleus,VMH,6.0,2724.0,0.2743125,9930.280246069718,
Posterior hypothalamic nucleus,PH,6.0,5879.0,0.352109375,16696.516529842465,
Hypothalamic lateral zone,LZ,5.0,22621.0,2.8434375,7955.511594680735,
Lateral hypothalamic area,LHA,6.0,8585.0,1.0360625,8286.17964649816,
Lateral preoptic area,LPO,6.0,1737.0,0.277265625,6264.750633981403,
Preparasubthalamic nucleus,PST,6.0,60.0,0.006453125,9297.820823244552,
Parasubthalamic nucleus,PSTN,6.0,1429.0,0.0831875,17178.061607813674,
Perifornical nucleus,PeF,6.0,1080.0,0.107046875,10089.03809662823,
Retrochiasmatic area,RCH,6.0,916.0,0.0739375,12388.841927303463,
Subthalamic nucleus,STN,6.0,191.0,0.09725,1964.0102827763496,
Tuberal nucleus,TU,6.0,2730.0,0.26178125,10428.554375074607,
Zona incerta,ZI,6.0,5893.0,0.900453125,6544.482812472887,
Fields of Forel,FF,7.0,863.0,0.120953125,7134.995478620333,
Median eminence,ME,5.0,1298.0,0.038703125,33537.343560758985,
Midbrain,MB,3.0,141526.0,18.33484375,7718.964062619841,
"Midbrain, sensory related",MBsen,4.0,50410.0,3.427421875,14707.848008935289,
"Superior colliculus, sensory related",SCs,5.0,22513.0,1.07721875,20899.190624002786,
"Superior colliculus, optic layer",SCop,6.0,4704.0,0.321,14654.205607476635,
"Superior colliculus, superficial gray layer",SCsg,6.0,13330.0,0.5754375,23164.983164983165,
"Superior colliculus, zonal layer",SCzo,6.0,4479.0,0.18078125,24775.79948141746,
Inferior colliculus,IC,5.0,27338.0,2.2235625,12294.68476824915,
"Inferior colliculus, central nucleus",ICc,6.0,5983.0,0.56334375,10620.513673933545,
"Inferior colliculus, dorsal nucleus",ICd,6.0,11887.0,0.661453125,17971.03914204049,
"Inferior colliculus, external nucleus",ICe,6.0,9468.0,0.998765625,9479.701506547144,
Nucleus of the brachium of the inferior colliculus,NB,5.0,291.0,0.043703125,6658.56274579907,
Nucleus sagulum,SAG,5.0,50.0,0.049,1020.408163265306,
Parabigeminal nucleus,PBG,5.0,16.0,0.02240625,714.0864714086472,
Midbrain trigeminal nucleus,MEV,5.0,36.0,0.0048125,7480.519480519481,
Subcommissural organ,SCO,5.0,166.0,0.00671875,24706.97674418605,
"Midbrain, motor related",MBmot,4.0,62746.0,10.63796875,5898.306478856689,
"Substantia nigra, reticular part",SNr,5.0,2463.0,0.773984375,3182.234783486424,
Ventral tegmental area,VTA,5.0,642.0,0.213796875,3002.850252137689,
Paranigral nucleus,PN,5.0,60.0,0.01084375,5533.14121037464,
"Midbrain reticular nucleus, retrorubral area",RR,5.0,395.0,0.069046875,5720.751301199367,
Midbrain reticular nucleus,MRN,5.0,8431.0,2.57221875,3277.715007714643,
"Superior colliculus, motor related",SCm,5.0,19739.0,2.823328125,6991.394243274503,
"Superior colliculus, motor related, deep gray layer",SCdg,6.0,2812.0,0.59640625,4714.906995022268,
"Superior colliculus, motor related, deep white layer",SCdw,6.0,1000.0,0.16553125,6041.155370964697,
"Superior colliculus, motor related, intermediate white layer",SCiw,6.0,7207.0,1.0450625,6896.238263261766,
"Superior colliculus, motor related, intermediate gray layer",SCig,6.0,8720.0,1.016328125,8579.906218771619,
Periaqueductal gray,PAG,5.0,22195.0,2.34271875,9474.035242173222,
Precommissural nucleus,PRC,6.0,1788.0,0.085765625,20847.51320823465,
Interstitial nucleus of Cajal,INC,6.0,113.0,0.039546875,2857.368629000395,
Nucleus of Darkschewitsch,ND,6.0,237.0,0.045921875,5160.939094930248,
Supraoculomotor periaqueductal gray,Su3,6.0,233.0,0.020953125,11120.05965697241,
Pretectal region,PRT,5.0,5827.0,1.039640625,5604.821377579391,
Anterior pretectal nucleus,APN,6.0,2121.0,0.63828125,3322.986536107711,
Medial pretectal area,MPT,6.0,211.0,0.022,9590.909090909092,
Nucleus of the optic tract,NOT,6.0,1238.0,0.102859375,12035.849916451463,
Nucleus of the posterior commissure,NPC,6.0,1331.0,0.143984375,9244.05860010852,
Olivary pretectal nucleus,OP,6.0,186.0,0.02921875,6365.775401069518,
Posterior pretectal nucleus,PPT,6.0,551.0,0.071984375,7654.438897330149,
Retroparafascicular nucleus,RPF,6.0,189.0,0.0313125,6035.928143712575,
Cuneiform nucleus,CUN,5.0,1445.0,0.275515625,5244.711620257472,
Red nucleus,RN,5.0,792.0,0.39384375,2010.9497738633656,
Oculomotor nucleus,III,5.0,15.0,0.0161875,926.6409266409266,
Medial accesory oculomotor nucleus,MA3,5.0,76.0,0.008296875,9160.075329566856,
Edinger-Westphal nucleus,EW,5.0,348.0,0.01075,32372.093023255817,
Trochlear nucleus,IV,5.0,30.0,0.003453125,8687.782805429864,
Paratrochlear nucleus,Pa4,5.0,25.0,0.007953125,3143.418467583497,
Ventral tegmental nucleus,VTN,5.0,37.0,0.0186875,1979.933110367893,
Anterior tegmental nucleus,AT,5.0,30.0,0.021578125,1390.296886314265,
Lateral terminal nucleus of the accessory optic tract,LT,5.0,4.0,0.00890625,449.1228070175439,
Dorsal terminal nucleus of the accessory optic tract,DT,5.0,56.0,0.005671875,9873.2782369146,
Medial terminal nucleus of the accessory optic tract,MT,5.0,136.0,0.021546875,6311.820159535896,
"Midbrain, behavioral state related",MBsta,4.0,5184.0,0.901578125,5749.917679069687,
"Substantia nigra, compact part",SNc,5.0,182.0,0.098421875,1849.1824099063344,
Pedunculopontine nucleus,PPN,5.0,1021.0,0.44528125,2292.9328373920976,
Midbrain raphe nuclei,RAmb,5.0,3981.0,0.357875,11123.995808592386,
Interfascicular nucleus raphe,IF,6.0,313.0,0.042578125,7351.192660550459,
Interpeduncular nucleus,IPN,6.0,2323.0,0.175421875,13242.362162643629,
"Interpeduncular nucleus, rostral",IPR,7.0,490.0,0.038875,12604.501607717042,
"Interpeduncular nucleus, caudal",IPC,7.0,391.0,0.0328125,11916.190476190475,
"Interpeduncular nucleus, apical",IPA,7.0,81.0,0.011953125,6776.470588235294,
"Interpeduncular nucleus, lateral",IPL,7.0,694.0,0.031,22387.09677419355,
"Interpeduncular nucleus, intermediate",IPI,7.0,283.0,0.016546875,17102.927289896128,
"Interpeduncular nucleus, dorsomedial",IPDM,7.0,51.0,0.009796875,5205.741626794258,
"Interpeduncular nucleus, dorsolateral",IPDL,7.0,56.0,0.018875,2966.8874172185438,
"Interpeduncular nucleus, rostrolateral",IPRL,7.0,231.0,0.009671875,23883.68336025848,
Rostral linear nucleus raphe,RL,6.0,197.0,0.026359375,7473.621813870776,
Central linear nucleus raphe,CLI,6.0,237.0,0.04115625,5758.542141230068,
Dorsal nucleus raphe,DR,6.0,911.0,0.072359375,12589.937378535951,
Hindbrain,HB,3.0,170663.0,23.794515625,7172.367056746926,
Pons,P,4.0,70800.0,8.338546875,8490.688013311672,
"Pons, sensory related",P-sen,5.0,10341.0,1.919203125,5388.17380260362,
Nucleus of the lateral lemniscus,NLL,6.0,948.0,0.3616875,2621.0471747019183,
Principal sensory nucleus of the trigeminal,PSV,6.0,1983.0,0.547578125,3621.4010557854185,
Parabrachial nucleus,PB,6.0,3477.0,0.56046875,6203.735712294397,
Koelliker-Fuse subnucleus,KF,7.0,592.0,0.08771875,6748.842180263627,
Superior olivary complex,SOC,6.0,3933.0,0.44946875,8750.330250990753,
"Superior olivary complex, periolivary region",POR,7.0,2563.0,0.182,14082.417582417584,
"Superior olivary complex, medial part",SOCm,7.0,129.0,0.098046875,1315.6972111553785,
"Superior olivary complex, lateral part",SOCl,7.0,1241.0,0.169421875,7324.910080236097,
"Pons, motor related",P-mot,5.0,34215.0,2.8958125,11815.33680098418,
Barrington's nucleus,B,6.0,192.0,0.007671875,25026.47657841141,
Dorsal tegmental nucleus,DTN,6.0,267.0,0.05184375,5150.090415913201,
Posterodorsal tegmental nucleus,PDTg,6.0,75.0,0.023875,3141.361256544503,
Pontine central gray,PCG,6.0,2064.0,0.27109375,7613.602305475503,
Pontine gray,PG,6.0,20166.0,0.481984375,41839.530586442765,
"Pontine reticular nucleus, caudal part",PRNc,6.0,2913.0,1.174078125,2481.0955403840776,
Supragenual nucleus,SG,6.0,91.0,0.00859375,10589.090909090908,
Supratrigeminal nucleus,SUT,6.0,657.0,0.13021875,5045.356371490281,
Tegmental reticular nucleus,TRN,6.0,6613.0,0.3445625,19192.454199165608,
Motor nucleus of trigeminal,V,6.0,420.0,0.177484375,2366.405493441324,
Peritrigeminal zone,P5,6.0,335.0,0.1598125,2096.206491982792,
Accessory trigeminal nucleus,Acs5,6.0,8.0,0.007234375,1105.8315334773215,
Parvicellular motor 5 nucleus,PC5,6.0,400.0,0.035265625,11342.49003101462,
Intertrigeminal nucleus,I5,6.0,14.0,0.02209375,633.6633663366337,
"Pons, behavioral state related",P-sat,5.0,6623.0,1.72528125,3838.794399463856,
Superior central nucleus raphe,CS,6.0,1719.0,0.2966875,5793.975142195071,
Locus ceruleus,LC,6.0,44.0,0.007328125,6004.264392324094,
Laterodorsal tegmental nucleus,LDT,6.0,1052.0,0.102125,10301.101591187273,
Nucleus incertus,NI,6.0,286.0,0.051921875,5508.27565452904,
Pontine reticular nucleus,PRNr,6.0,2859.0,1.182078125,2418.6218656233063,
Nucleus raphe pontis,RPO,6.0,230.0,0.048296875,4762.21287609188,
Subceruleus nucleus,SLC,6.0,123.0,0.013171875,9338.078291814949,
Sublaterodorsal nucleus,SLD,6.0,310.0,0.023671875,13095.709570957097,
