name,acronym,count_left,count_right,count_total,volume (mm^3)_left,volume (mm^3)_right,volume_total (mm^3),density (cells/mm^3)_left,density (cells/mm^3)_right,density_total (cells/mm^3),RGB,parent_region
"Posterolateral visual area, layer 2/3",VISpl2/3,1083.0,864.0,1947.0,0.104203125,0.10425,0.208453125,10393.162393162394,8287.769784172662,9340.466088667528,09848C,VISpl
"Posterolateral visual area, layer 4",VISpl4,421.0,207.0,628.0,0.0181875,0.017875,0.0360625,23147.766323024058,11580.41958041958,17364.092951721817,0B858A,VISpl
"Posterolateral visual area, layer 5",VISpl5,2353.0,1046.0,3399.0,0.121671875,0.121453125,0.2431249999999999,19338.89816360601,8612.376173935418,13975.637168770714,0B838C,VISpl
"Posterolateral visual area, layer 6a",VISpl6a,1034.0,432.0,1466.0,0.05375,0.05359375,0.10734375,19237.20930232558,8060.641399416909,13648.925350871245,08838C,VISpl
"Posterolateral visual area, layer 6b",VISpl6b,65.0,11.0,76.0,0.004390625,0.00421875,0.008609375,14804.27046263345,2607.4074074074074,8705.838935020429,08848A,VISpl
posteromedial visual area,VISpm,11889.0,3954.0,15843.0,0.522125,0.522546875,1.044671875,22770.40938472588,7566.785276440512,15168.597330583196,0A838B,VIS
"posteromedial visual area, layer 1",VISpm1,1930.0,293.0,2223.0,0.0939375,0.094328125,0.188265625,20545.5755156354,3106.178565512672,11825.877040574036,0A8589,VISpm
"posteromedial visual area, layer 2/3",VISpm2/3,3464.0,1497.0,4961.0,0.14671875,0.1465625,0.29328125,23609.797657082,10214.072494669508,16911.935075875754,08858B,VISpm
"posteromedial visual area, layer 4",VISpm4,1485.0,366.0,1851.0,0.049328125,0.04925,0.098578125,30104.52961672474,7431.472081218274,18768.000848971507,09828B,VISpm
"posteromedial visual area, layer 5",VISpm5,3298.0,1124.0,4422.0,0.14246875,0.143078125,0.285546875,23148.936170212764,7855.847985147974,15502.39207768037,088489,VISpm
"posteromedial visual area, layer 6a",VISpm6a,1431.0,544.0,1975.0,0.075359375,0.075609375,0.15096875,18989.01098901099,7194.874974168216,13091.942981589602,09858B,VISpm
"posteromedial visual area, layer 6b",VISpm6b,281.0,130.0,411.0,0.0143125,0.01371875,0.02803125,19633.187772925765,9476.082004555808,14554.634888740788,088589,VISpm
Laterointermediate area,VISli,7605.0,3253.0,10858.0,0.246234375,0.24634375,0.492578125,30885.208452312963,13205.124952429278,22045.16670237112,0A858B,VIS
"Laterointermediate area, layer 1",VISli1,1008.0,433.0,1441.0,0.03734375,0.0373125,0.07465625,26992.46861924686,11604.690117252932,19298.5793682499,0C858C,VISli
"Laterointermediate area, layer 2/3",VISli2/3,2092.0,755.0,2847.0,0.05871875,0.0584375,0.11715625,35627.46141564662,12919.786096256685,24273.62375595165,0A858A,VISli
"Laterointermediate area, layer 4",VISli4,1221.0,362.0,1583.0,0.02853125,0.028546875,0.057078125,42795.18072289157,12680.897646414887,27738.03918465323,08828C,VISli
"Laterointermediate area, layer 5",VISli5,1939.0,954.0,2893.0,0.07396875,0.074296875,0.148265625,26213.77270806929,12840.3785488959,19527.075628482595,0A848A,VISli
"Laterointermediate area, layer 6a",VISli6a,1108.0,712.0,1820.0,0.03984375,0.03953125,0.079375,27808.627450980395,18011.06719367589,22909.847322328143,088488,VISli
"Laterointermediate area, layer 6b",VISli6b,237.0,37.0,274.0,0.007828125,0.00821875,0.016046875,30275.449101796406,4501.90114068441,17388.67512124041,08818B,VISli
Postrhinal area,VISpor,14938.0,10062.0,25000.0,0.641203125,0.64153125,1.282734375,23296.829690279505,15684.34896975011,19490.58933001481,098588,VIS
"Postrhinal area, layer 1",VISpor1,2924.0,1078.0,4002.0,0.12509375,0.1253125,0.25040625,23374.46914813889,8602.493765586036,15988.481456862464,09818C,VISpor
"Postrhinal area, layer 2/3",VISpor2/3,3621.0,3441.0,7062.0,0.186953125,0.18690625,0.373859375,19368.491433347263,18410.29928105668,18889.39535720197,0A8389,VISpor
"Postrhinal area, layer 4",VISpor4,1090.0,480.0,1570.0,0.03025,0.03025,0.0605,36033.05785123967,15867.768595041323,25950.41322314049,0A828A,VISpor
"Postrhinal area, layer 5",VISpor5,4497.0,3369.0,7866.0,0.192390625,0.19259375,0.384984375,23374.31982457565,17492.77949050787,20433.54965754176,0B838A,VISpor
"Postrhinal area, layer 6a",VISpor6a,2474.0,1635.0,4109.0,0.090234375,0.09009375,0.180328125,27417.489177489177,18147.7627471384,22782.62596231379,0C858B,VISpor
"Postrhinal area, layer 6b",VISpor6b,332.0,59.0,391.0,0.01628125,0.016375,0.03265625,20391.5547024952,3603.053435114504,11997.304068804851,0C848C,VISpor
Anterior cingulate area,ACA,53423.0,32515.0,85938.0,2.754296875,2.78553125,5.539828125,19396.23883137144,11672.818246070656,15534.528538721048,40A666,Isocortex
"Anterior cingulate area, dorsal part",ACAd,26213.0,18877.0,45090.0,1.556421875,1.573359375,3.12978125,16841.834737127425,11997.894632305475,14419.86468471645,40A665,ACA
"Anterior cingulate area, dorsal part, layer 1",ACAd1,4708.0,4212.0,8920.0,0.289625,0.306203125,0.595828125,16255.502805351747,13755.574832882585,15005.538819117166,3EA665,ACAd
"Anterior cingulate area, dorsal part, layer 2/3",ACAd2/3,7098.0,4167.0,11265.0,0.304125,0.30678125,0.61090625,23339.08754623921,13582.968320260772,18461.027933249992,40A565,ACAd
"Anterior cingulate area, dorsal part, layer 5",ACAd5,10049.0,7212.0,17261.0,0.600515625,0.59771875,1.198234375,16733.952592823876,12065.875464003764,14399.91402841382,3EA566,ACAd
"Anterior cingulate area, dorsal part, layer 6a",ACAd6a,4229.0,3173.0,7402.0,0.349875,0.3501875,0.7000625,12087.173990710968,9060.86025343566,10574.017122073314,3FA664,ACAd
"Anterior cingulate area, dorsal part, layer 6b",ACAd6b,129.0,113.0,242.0,0.01228125,0.01246875,0.02475,10503.81679389313,9062.65664160401,9783.236717748568,3FA466,ACAd
"Anterior cingulate area, ventral part",ACAv,27210.0,13638.0,40848.0,1.197875,1.212171875,2.410046875,22715.22487738704,11250.879748385518,16983.05231288628,40A566,ACA
"Anterior cingulate area, ventral part, layer 1",ACAv1,5885.0,1260.0,7145.0,0.23403125,0.239359375,0.473390625,25146.21444785686,5264.051178275344,15205.132813066102,40A664,ACAv
"Anterior cingulate area, ventral part, layer 2/3",ACAv2/3,6653.0,2819.0,9472.0,0.24753125,0.261859375,0.509390625,26877.414467870218,10765.320126499197,18821.367297184708,3FA566,ACAv
"Anterior cingulate area, ventral part, layer 5",ACAv5,11475.0,6326.0,17801.0,0.504171875,0.49821875,1.002390625,22760.095453559363,12697.233895753625,17728.664674656495,3EA666,ACAv
"Anterior cingulate area, ventral part, 6a",ACAv6a,2797.0,2799.0,5596.0,0.181234375,0.181671875,0.36290625,15433.054573670144,15406.897738023565,15419.976155846854,40A564,ACAv
"Anterior cingulate area, ventral part, 6b",ACAv6b,400.0,434.0,834.0,0.03090625,0.0310625,0.06196875,12942.36602628918,13971.830985915492,13457.098506102337,40A465,ACAv
Prelimbic area,PL,22089.0,20462.0,42551.0,1.198703125,1.20953125,2.408234375,18427.4150449053,16917.29750678207,17672.356275843686,2EA750,Isocortex
"Prelimbic area, layer 1",PL1,4920.0,4870.0,9790.0,0.25490625,0.26446875,0.5193749999999999,19301.21368150055,18414.273898144867,18857.743789822707,2FA750,PL
"Prelimbic area, layer 2/3",PL2/3,4525.0,3530.0,8055.0,0.20753125,0.211390625,0.418921875,21803.945188977563,16698.94301130904,19251.4441001433,2FA74F,PL
"Prelimbic area, layer 5",PL5,10331.0,8872.0,19203.0,0.494078125,0.490953125,0.98503125,20909.648651212803,18070.97164316858,19490.31014719069,2EA84F,PL
"Prelimbic area, layer 6a",PL6a,2268.0,3118.0,5386.0,0.231484375,0.232,0.463484375,9797.63752953088,13439.655172413792,11618.646350972336,2FA850,PL
"Prelimbic area, layer 6b",PL6b,45.0,72.0,117.0,0.010703125,0.01071875,0.021421875,4204.379562043795,6717.201166180757,5460.790364112276,2FA84F,PL
Infralimbic area,ILA,10498.0,8789.0,19287.0,0.419796875,0.423375,0.843171875,25007.33241523058,20759.37407735459,22883.353246292587,59B363,Isocortex
"Infralimbic area, layer 1",ILA1,1016.0,1007.0,2023.0,0.073140625,0.077,0.150140625,13891.04892117069,13077.922077922078,13484.485499546385,59B263,ILA
"Infralimbic area, layer 2/3",ILA2/3,1906.0,1447.0,3353.0,0.0715625,0.071515625,0.143078125,26634.06113537118,20233.3406161241,23433.70087574764,59B362,ILA
"Infralimbic area, layer 5",ILA5,5791.0,4681.0,10472.0,0.167359375,0.166921875,0.33428125,34602.184669965456,28043.05906580549,31322.62186788547,59B262,ILA
"Infralimbic area, layer 6a",ILA6a,1776.0,1641.0,3417.0,0.102421875,0.102484375,0.20490625,17340.04576659039,16012.196981247142,16676.121373918766,58B362,ILA
"Infralimbic area, layer 6b",ILA6b,9.0,13.0,22.0,0.0053125,0.005453125,0.010765625,1694.1176470588234,2383.954154727794,2039.0359008933087,58B263,ILA
Orbital area,ORB,63390.0,35879.0,99269.0,2.946921875,2.954953125,5.901875,21510.580425549964,12141.986177868728,16826.283301709347,23895C,Isocortex
"Orbital area, lateral part",ORBl,24506.0,11055.0,35561.0,1.36346875,1.363578125,2.727046875,17973.27588182714,8107.346251246146,13040.311066536642,23885D,ORB
"Orbital area, lateral part, layer 1",ORBl1,2020.0,626.0,2646.0,0.18784375,0.187265625,0.3751093749999999,10753.618366328395,3342.845223195661,7048.231794762029,238A5D,ORBl
"Orbital area, lateral part, layer 2/3",ORBl2/3,7545.0,3180.0,10725.0,0.31075,0.310640625,0.6213906250000001,24279.967819790825,10236.909612192543,17258.438715991684,238A5E,ORBl
"Orbital area, lateral part, layer 5",ORBl5,12084.0,5613.0,17697.0,0.603515625,0.60409375,1.207609375,20022.679611650485,9291.604159122651,14657.141885386569,228A5D,ORBl
"Orbital area, lateral part, layer 6a",ORBl6a,2653.0,1497.0,4150.0,0.2386875,0.23884375,0.4775312499999999,11114.951557999477,6267.695930917179,8691.323744458328,24895D,ORBl
"Orbital area, lateral part, layer 6b",ORBl6b,204.0,139.0,343.0,0.022671875,0.022734375,0.04540625,8997.932460372156,6114.089347079038,7556.010903725597,248A5C,ORBl
"Orbital area, medial part",ORBm,16954.0,13129.0,30083.0,0.694828125,0.703078125,1.39790625,24400.278845937617,18673.60046225304,21536.93965409533,22895D,ORB
"Orbital area, medial part, layer 1",ORBm1,4570.0,5013.0,9583.0,0.205578125,0.21559375,0.421171875,22229.99163943148,23252.06551674156,22741.02857808652,23895D,ORBm
"Orbital area, medial part, layer 2/3",ORBm2/3,4776.0,3049.0,7825.0,0.158234375,0.15665625,0.314890625,30183.074948158388,19462.99620985438,24823.035579006384,24885D,ORBm
"Orbital area, medial part, layer 5",ORBm5,6042.0,3776.0,9818.0,0.2359375,0.2356875,0.4716249999999999,25608.476821192053,16021.214531954389,20814.84567657322,23885E,ORBm
"Orbital area, medial part, layer 6a",ORBm6a,1551.0,1287.0,2838.0,0.093203125,0.09321875,0.186421875,16641.072925398155,13806.235333556822,15223.654129477489,22885E,ORBm
"Orbital area, medial part, layer 6b",ORBm6b,15.0,4.0,19.0,0.001875,0.001921875,0.003796875,8000.0,2081.3008130081303,5040.650406504065,24875E,ORBm
"Orbital area, ventrolateral part",ORBvl,21930.0,11695.0,33625.0,0.888625,0.888296875,1.776921875,24678.576452384303,13165.643524300363,18922.10998834233,228A5C,ORB
"Orbital area, ventrolateral part, layer 1",ORBvl1,3576.0,1786.0,5362.0,0.19271875,0.193109375,0.3858281249999999,18555.53753851143,9248.644712355368,13902.0911254334,248A5B,ORBvl
"Orbital area, ventrolateral part, layer 2/3",ORBvl2/3,7895.0,4454.0,12349.0,0.26178125,0.2616875,0.52346875,30158.768055389755,17020.3009314545,23589.53449342213,248A5D,ORBvl
"Orbital area, ventrolateral part, layer 5",ORBvl5,8469.0,4057.0,12526.0,0.309953125,0.30940625,0.6193593749999999,27323.48641427635,13112.210887789111,20217.84865103273,23885C,ORBvl
"Orbital area, ventrolateral part, layer 6a",ORBvl6a,1950.0,1357.0,3307.0,0.119,0.11915625,0.23815625,16386.55462184874,11388.408077629165,13887.481349738951,238A5C,ORBvl
"Orbital area, ventrolateral part, layer 6b",ORBvl6b,40.0,41.0,81.0,0.005171875,0.0049375,0.010109375,7734.138972809667,8303.79746835443,8018.968220582049,22895E,ORBvl
Agranular insular area,AI,55414.0,29050.0,84464.0,3.94978125,3.947640625,7.897421875,14029.637717278649,7358.825880965292,10694.23179912197,219866,Isocortex
"Agranular insular area, dorsal part",AId,22354.0,9830.0,32184.0,1.86365625,1.8626875,3.72634375,11994.701276053456,5277.321075059557,8636.011175556507,219865,AI
"Agranular insular area, dorsal part, layer 1",AId1,1626.0,907.0,2533.0,0.23034375,0.230171875,0.460515625,7059.015059015059,3940.533568664721,5499.77431383989,209764,AId
"Agranular insular area, dorsal part, layer 2/3",AId2/3,6892.0,1693.0,8585.0,0.46315625,0.46253125,0.9256875,14880.50738816544,3660.293223430849,9270.400305798144,209765,AId
"Agranular insular area, dorsal part, layer 5",AId5,8985.0,4794.0,13779.0,0.75421875,0.75565625,1.509875,11912.989434431323,6344.154501468094,9128.571967949709,209665,AId
"Agranular insular area, dorsal part, layer 6a",AId6a,4587.0,2364.0,6951.0,0.39071875,0.3905625,0.7812812499999999,11739.90242341838,6052.808449351896,8896.355436385138,209666,AId
"Agranular insular area, dorsal part, layer 6b",AId6b,264.0,72.0,336.0,0.02521875,0.023765625,0.048984375,10468.401486988849,3029.585798816568,6748.993642902708,1F9766,AId
"Agranular insular area, posterior part",AIp,17572.0,9997.0,27569.0,1.217265625,1.217875,2.435140625,14435.633142930492,8208.559991788976,11322.096567359737,219766,AI
"Agranular insular area, posterior part, layer 1",AIp1,3887.0,1416.0,5303.0,0.210953125,0.211859375,0.4228125,18425.894378194207,6683.678737370013,12554.78655778211,219765,AIp
"Agranular insular area, posterior part, layer 2/3",AIp2/3,5962.0,2868.0,8830.0,0.40159375,0.401546875,0.803140625,14845.848572095556,7142.379080898089,10994.113826496823,209865,AIp
"Agranular insular area, posterior part, layer 5",AIp5,4714.0,3245.0,7959.0,0.37634375,0.376234375,0.752578125,12525.782612305904,8624.94289629968,10575.362754302792,219864,AIp
"Agranular insular area, posterior part, layer 6a",AIp6a,2873.0,2394.0,5267.0,0.218109375,0.217828125,0.4359375,13172.290278673256,10990.31633311814,12081.303305895695,209766,AIp
"Agranular insular area, posterior part, layer 6b",AIp6b,136.0,74.0,210.0,0.010265625,0.01040625,0.020671875,13248.097412480973,7111.11111111111,10179.60426179604,219666,AIp
"Agranular insular area, ventral part",AIv,15488.0,9223.0,24711.0,0.868859375,0.867078125,1.7359375,17825.66943010772,10636.873119132142,14231.27127461993,209866,AI
"Agranular insular area, ventral part, layer 1",AIv1,1767.0,1116.0,2883.0,0.12546875,0.12509375,0.2505625,14083.18804483188,8921.309018236323,11502.248531534102,209864,AIv
"Agranular insular area, ventral part, layer 2/3",AIv2/3,5429.0,2741.0,8170.0,0.29709375,0.2971875,0.59428125,18273.69306826549,9223.133543638276,13748.413305951884,219764,AIv
"Agranular insular area, ventral part, layer 5",AIv5,6948.0,4460.0,11408.0,0.3605625,0.359796875,0.720359375,19269.890795631825,12395.8830937595,15832.886944695663,1F9865,AIv
"Agranular insular area, ventral part, layer 6a",AIv6a,1322.0,894.0,2216.0,0.084234375,0.08346875,0.167703125,15694.305323687628,10710.595282665668,13202.450303176647,1F9866,AIv
"Agranular insular area, ventral part, layer 6b",AIv6b,22.0,12.0,34.0,0.0015,0.00153125,0.00303125,14666.666666666666,7836.734693877551,11251.700680272108,219665,AIv
Retrosplenial area,RSP,89951.0,39190.0,129141.0,5.243828125,5.25715625,10.500984375000002,17153.68960533961,7454.6005742172865,12304.145089778449,1AA698,Isocortex
"Retrosplenial area, lateral agranular part",RSPagl,25026.0,10292.0,35318.0,1.178046875,1.1773125,2.355359375,21243.636845944693,8741.944046291872,14992.790446118282,1BA497,RSP
"Retrosplenial area, lateral agranular part, layer 1",RSPagl1,4708.0,1483.0,6191.0,0.253203125,0.252921875,0.5061249999999999,18593.7673557544,5863.470686353246,12228.619021053824,1BA696,RSPagl
"Retrosplenial area, lateral agranular part, layer 2/3",RSPagl2/3,7879.0,3501.0,11380.0,0.334421875,0.33521875,0.669640625,23560.06167359716,10443.926540505268,17001.994107051214,1AA496,RSPagl
"Retrosplenial area, lateral agranular part, layer 5",RSPagl5,7996.0,3210.0,11206.0,0.366734375,0.366015625,0.73275,21803.246559584168,8770.117395944504,15286.681977764336,1CA697,RSPagl
"Retrosplenial area, lateral agranular part, layer 6a",RSPagl6a,4074.0,1890.0,5964.0,0.20546875,0.205265625,0.410734375,19827.83269961977,9207.581639643751,14517.70716963176,1CA597,RSPagl
"Retrosplenial area, lateral agranular part, layer 6b",RSPagl6b,369.0,208.0,577.0,0.01821875,0.017890625,0.036109375,20253.859348198974,11626.200873362444,15940.03011078071,1AA598,RSPagl
"Retrosplenial area, dorsal part",RSPd,30207.0,14621.0,44828.0,1.899359375,1.896390625,3.79575,15903.78334800385,7709.909449694733,11806.846398849291,1CA598,RSP
"Retrosplenial area, dorsal part, layer 1",RSPd1,5827.0,4296.0,10123.0,0.415375,0.412265625,0.827640625,14028.287691844718,10420.46617396248,12224.3769329036,1BA598,RSPd
"Retrosplenial area, dorsal part, layer 2/3",RSPd2/3,9797.0,3815.0,13612.0,0.486953125,0.486953125,0.97390625,20118.979624578857,7834.429648644313,13976.704636611585,1BA697,RSPd
"Retrosplenial area, dorsal part, layer 5",RSPd5,8997.0,3806.0,12803.0,0.603390625,0.601875,1.205265625,14910.73879379548,6323.572170301141,10617.15548204831,1AA596,RSPd
"Retrosplenial area, dorsal part, layer 6a",RSPd6a,5353.0,2569.0,7922.0,0.37765625,0.379296875,0.756953125,14174.265618535374,6773.058702368692,10473.662160452031,1AA697,RSPd
"Retrosplenial area, dorsal part, layer 6b",RSPd6b,233.0,135.0,368.0,0.015984375,0.016,0.0319843749999999,14576.735092864126,8437.5,11507.117546432062,1BA698,RSPd
"Retrosplenial area, ventral part",RSPv,34718.0,14277.0,48995.0,2.166421875,2.183453125,4.349875000000001,16025.50288133515,6538.725213072756,11282.114047203951,1BA596,RSP
"Retrosplenial area, ventral part, layer 1",RSPv1,4443.0,2852.0,7295.0,0.46271875,0.48365625,0.946375,9601.945026001216,5896.7500161530015,7749.347521077108,1BA597,RSPv
"Retrosplenial area, ventral part, layer 2/3",RSPv2/3,13110.0,4405.0,17515.0,0.5099375,0.50909375,1.01903125,25709.03296972668,8652.630286661346,17180.831628194013,1AA597,RSPv
"Retrosplenial area, ventral part, layer 5",RSPv5,14207.0,5769.0,19976.0,0.8398125,0.83690625,1.67671875,16916.87132544467,6893.245211157164,11905.058268300916,1BA498,RSPv
"Retrosplenial area, ventral part, layer 6a",RSPv6a,2789.0,1166.0,3955.0,0.329203125,0.32978125,0.658984375,8471.973040960653,3535.677058656306,6003.82504980848,1AA498,RSPv
"Retrosplenial area, ventral part, layer 6b",RSPv6b,169.0,85.0,254.0,0.02475,0.024015625,0.048765625,6828.282828282828,3539.362394274561,5183.822611278694,1AA497,RSPv
Posterior parietal association areas,PTLp,31219.0,13984.0,45203.0,1.227125,1.226875,2.454,25440.766018131813,11398.064187468162,18419.415102799987,009FAC,Isocortex
Anterior area,VISa,16319.0,9012.0,25331.0,0.7190625,0.718921875,1.437984375,22694.8283355063,12535.437178066111,17615.132756786206,009FAB,PTLp
"Anterior area, layer 1",VISa1,1100.0,461.0,1561.0,0.118875,0.1199375,0.2388124999999999,9253.4174553102,3843.668577384054,6548.543016347127,019FAC,VISa
"Anterior area, layer 2/3",VISa2/3,4231.0,2559.0,6790.0,0.2134375,0.212921875,0.426359375,19823.133235724745,12018.492698319513,15920.812967022128,009EAB,VISa
"Anterior area, layer 4",VISa4,2899.0,1405.0,4304.0,0.077578125,0.077625,0.155203125,37368.78147029205,18099.838969404187,27734.31021984812,019EAC,VISa
"Anterior area, layer 5",VISa5,5075.0,2969.0,8044.0,0.177453125,0.1774375,0.354890625,28599.10187549529,16732.652342374076,22665.877108934685,019EAB,VISa
"Anterior area, layer 6a",VISa6a,2539.0,1354.0,3893.0,0.1115625,0.11134375,0.22290625,22758.54341736695,12160.5388717373,17459.541144552124,009DAC,VISa
"Anterior area, layer 6b",VISa6b,475.0,264.0,739.0,0.02015625,0.01965625,0.0398125,23565.891472868218,13430.842607313196,18498.367040090707,029FAC,VISa
Rostrolateral visual area,VISrl,14900.0,4972.0,19872.0,0.5080625,0.507953125,1.016015625,29327.10050436708,9788.30477713864,19557.70264075286,009EAA,PTLp
"Rostrolateral area, layer 1",VISrl1,1529.0,377.0,1906.0,0.08478125,0.084875,0.16965625,18034.647991153703,4441.826215022091,11238.237103087897,029FAB,VISrl
"Rostrolateral area, layer 2/3",VISrl2/3,3720.0,1079.0,4799.0,0.13790625,0.13784375,0.27575,26974.847042828005,7827.703468601225,17401.275255714616,029EAC,VISrl
"Rostrolateral area, layer 4",VISrl4,3043.0,803.0,3846.0,0.073390625,0.0730625,0.146453125,41463.0615286353,10990.590248075276,26226.825888355288,019EAA,VISrl
"Rostrolateral area, layer 5",VISrl5,4191.0,1709.0,5900.0,0.12178125,0.122328125,0.244109375,34414.164742109315,13970.622046238344,24192.39339417383,019DAB,VISrl
"Rostrolateral area, layer 6a",VISrl6a,2065.0,872.0,2937.0,0.0756875,0.0756875,0.151375,27283.236994219653,11521.056977704377,19402.146985962016,029EAB,VISrl
"Rostrolateral area, layer 6b",VISrl6b,352.0,132.0,484.0,0.014515625,0.01415625,0.028671875,24249.7308934338,9324.50331125828,16787.11710234604,009DAA,VISrl
Temporal association areas,TEa,35528.0,22590.0,58118.0,1.55525,1.551015625,3.106265625,22843.915769168943,14564.650178814283,18704.28297399161,16B0B3,Isocortex
"Temporal association areas, layer 1",TEa1,4829.0,1862.0,6691.0,0.267375,0.26396875,0.53134375,18060.77606358112,7053.865277613355,12557.320670597235,15B0B3,TEa
"Temporal association areas, layer 2/3",TEa2/3,8051.0,4863.0,12914.0,0.351671875,0.34825,0.699921875,22893.4998000622,13964.10624551328,18428.80302278774,16AFB3,TEa
"Temporal association areas, layer 4",TEa4,4246.0,2486.0,6732.0,0.1561875,0.1559375,0.312125,27185.27410964385,15942.284569138275,21563.77933939106,15B0B2,TEa
"Temporal association areas, layer 5",TEa5,10469.0,7217.0,17686.0,0.4753125,0.47590625,0.95121875,22025.50953320184,15164.7514610283,18595.130497115068,15AFB3,TEa
"Temporal association areas, layer 6a",TEa6a,6896.0,5656.0,12552.0,0.261359375,0.263484375,0.52484375,26385.125844443115,21466.168534661687,23925.6471895524,15AFB2,TEa
"Temporal association areas, layer 6b",TEa6b,1037.0,506.0,1543.0,0.04334375,0.04346875,0.0868125,23925.01802451333,11640.546369518332,17782.782197015833,16B0B2,TEa
Perirhinal area,PERI,7002.0,3120.0,10122.0,0.395078125,0.395,0.790078125,17723.076923076922,7898.734177215189,12810.905550146055,0F9683,Isocortex
"Perirhinal area, layer 1",PERI1,2323.0,526.0,2849.0,0.1113125,0.1109375,0.22225,20869.17462099944,4741.408450704225,12805.291535851831,0E9584,PERI
"Perirhinal area, layer 2/3",PERI2/3,3027.0,1557.0,4584.0,0.16634375,0.166546875,0.332890625,18197.25718579748,9348.719392063043,13772.98828893026,0E9583,PERI
"Perirhinal area, layer 5",PERI5,1180.0,634.0,1814.0,0.0840625,0.084,0.1680625,14037.17472118959,7547.619047619047,10792.39688440432,0F9684,PERI
"Perirhinal area, layer 6a",PERI6a,430.0,339.0,769.0,0.026703125,0.027,0.053703125,16102.9842012873,12555.555555555557,14329.269878421428,0E9684,PERI
"Perirhinal area, layer 6b",PERI6b,42.0,64.0,106.0,0.00665625,0.006515625,0.013171875,6309.859154929578,9822.54196642686,8066.200560678219,0E9683,PERI
Ectorhinal area,ECT,16128.0,11449.0,27577.0,0.85571875,0.85615625,1.711875,18847.31402695103,13372.559039310874,16109.936533130953,0D9E91,Isocortex
Ectorhinal area/Layer 1,ECT1,2356.0,887.0,3243.0,0.132234375,0.12846875,0.260703125,17816.84981684982,6904.402821697884,12360.626319273852,0D9F90,ECT
Ectorhinal area/Layer 2/3,ECT2/3,4942.0,3260.0,8202.0,0.23665625,0.239046875,0.475703125,20882.609269774195,13637.492646578208,17260.0509581762,0D9F91,ECT
Ectorhinal area/Layer 5,ECT5,4755.0,3756.0,8511.0,0.26471875,0.264375,0.52909375,17962.460158186754,14207.092198581558,16084.776178384156,0D9E90,ECT
Ectorhinal area/Layer 6a,ECT6a,3616.0,3135.0,6751.0,0.195265625,0.194765625,0.39003125,18518.36440745779,16096.26955475331,17307.31698110555,0E9F91,ECT
Ectorhinal area/Layer 6b,ECT6b,459.0,411.0,870.0,0.02684375,0.0295,0.05634375,17098.95227008149,13932.203389830507,15515.577829955995,0E9F90,ECT
Olfactory areas,OLF,690532.0,500320.0,1190852.0,23.352796875,23.3463125,46.699109375,29569.56306759295,21430.365073713463,25499.96407065321,99D2BD,CTXpl
Main olfactory bulb,MOB,384521.0,279348.0,663869.0,8.23196875,8.23128125,16.463250000000002,46710.6972435968,33937.3654617864,40324.0313526916,9AD1BD,OLF
Accessory olfactory bulb,AOB,8130.0,4323.0,12453.0,0.325625,0.32590625,0.65153125,24967.370441458734,13264.550771886086,19115.960606672408,9DF0D2,OLF
"Accessory olfactory bulb, glomerular layer",AOBgl,717.0,408.0,1125.0,0.0773125,0.07715625,0.15446875,9274.050121261114,5287.970838396112,7281.010479828614,9DF0D1,AOB
"Accessory olfactory bulb, granular layer",AOBgr,4730.0,3214.0,7944.0,0.110171875,0.11025,0.220421875,42932.91731669267,29151.927437641723,36042.4223771672,95E4C8,AOB
"Accessory olfactory bulb, mitral layer",AOBmi,2683.0,701.0,3384.0,0.138140625,0.1385,0.276640625,19422.23730347246,5061.3718411552345,12241.804572313846,9DEFD2,AOB
Anterior olfactory nucleus,AON,53062.0,44471.0,97533.0,2.434671875,2.43503125,4.869703125,21794.31263196401,18263.00997163794,20028.66130180097,54BF94,OLF
Taenia tecta,TT,12570.0,11712.0,24282.0,0.71946875,0.724765625,1.444234375,17471.22442774617,16159.706801767814,16815.46561475699,62CF9F,OLF
"Taenia tecta, dorsal part",TTd,7167.0,6306.0,13473.0,0.36028125,0.364328125,0.724609375,19892.7920895134,17308.573144057984,18600.682616785693,61D09F,TT
"Taenia tecta, ventral part",TTv,5403.0,5406.0,10809.0,0.3591875,0.3604375,0.719625,15042.282930224465,14998.439396566671,15020.361163395568,62CF9E,TT
Dorsal peduncular area,DP,5452.0,3956.0,9408.0,0.250140625,0.251671875,0.5018125,21795.739896308325,15718.87999006643,18757.309943187374,A3DAA3,OLF
Piriform area,PIR,111957.0,81020.0,192977.0,5.782515625,5.783140625,11.56565625,19361.29658101875,14009.688723417476,16685.492652218112,6ACAB9,OLF
Nucleus of the lateral olfactory tract,NLOT,3034.0,2212.0,5246.0,0.15934375,0.159328125,0.318671875,19040.59619533242,13883.299009512602,16461.94760242251,95E3C7,OLF
"Nucleus of the lateral olfactory tract, molecular layer",NLOT1,1095.0,811.0,1906.0,0.05571875,0.055703125,0.111421875,19652.271452607965,14559.326788218794,17105.79912041338,95E4C7,NLOT
"Nucleus of the lateral olfactory tract, pyramidal layer",NLOT2,1487.0,1046.0,2533.0,0.07475,0.074671875,0.1494218749999999,19892.976588628764,14007.951454279138,16950.46402145395,95E3C8,NLOT
"Nucleus of the lateral olfactory tract, layer 3",NLOT3,452.0,355.0,807.0,0.028875,0.028953125,0.057828125,15653.679653679654,12261.198057204534,13957.438855442097,94E4C7,NLOT
